Dia,Grupo,Exercicio,GER,Protocolo,SeriesBase,Pausa,Notas,Carga_S1,Reps_S1,Carga_S2,Reps_S2,Carga_S3,Reps_S3,Carga_S4,Reps_S4
"Segunda","Upper","Supino inclinado (máquina)","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Iguale/supere reps do backoff anterior; técnica perfeita.",,,,,,,,
"Segunda","Upper","Supino reto (smith)","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Controle na descida; pausa leve no peito opcional.",,,,,,,,
"Segunda","Upper","Crucifixo (máquina)","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Progrida carga quando 1º bloco chegar 1112 reps.",,,,,,,,
"Segunda","Upper","Pulldown","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Depressão escapular antes de puxar; amplitude total.",,,,,,,,
"Segunda","Upper","Remada cavalinho (máquina)","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Peito apoiado se possível; ombros baixos.",,,,,,,,
"Segunda","Upper","Puxada pronada","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Evite balanço; foco dorsais.",,,,,,,,
"Segunda","Upper","Desenvolvimento (máquina)","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Sem hiperextensão lombar; trajetória estável.",,,,,,,,
"Segunda","Upper","Elevação lateral (halteres)","GER13","Pulse set (apenas técnica)","Aquec:2x15 | Prep:23 leves | Apenas Técnica","2:00","5 compl + 5 parciais; 4 compl + 5 parciais;  até falha.",,,,,,,,
"Segunda","Upper","Rosca direta","GER11","Muscle round (apenas técnica)","Aquec:2x15 | Prep:23 leves | Apenas Técnica","2:00","Blocos de 4 reps c/10s; falhe no 4º bloco. Ao consolidar 5, aumente carga.",,,,,,,,
"Segunda","Upper","Tríceps francês","GER11","Muscle round (apenas técnica)","Aquec:2x15 | Prep:23 leves | Apenas Técnica","2:00","Cotovelo estável; 10s entre blocos.",,,,,,,,
"Terça","Lower","Abdutora","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Pico de contração 1s; controle.",,,,,,,,
"Terça","Lower","Agachamento (smith)","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Profundidade consistente; joelhos acompanhando pés.",,,,,,,,
"Terça","Lower","Leg press","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Amplitude segura; não travar joelhos.",,,,,,,,
"Terça","Lower","Levantamento terra","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Coluna neutra; barra próxima das pernas.",,,,,,,,
"Terça","Lower","Elevação pélvica","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Pausa de 1s no pico; pélvis em retroversão.",,,,,,,,
"Terça","Lower","Extensora","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Controle excêntrico lento.",,,,,,,,
"Terça","Lower","Flexora deitado","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Quadris apoiados; sem impulso.",,,,,,,,
"Terça","Lower","Stiff","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Quadril como dobradiça; alongamento controlado.",,,,,,,,
"Terça","Lower","Rosca direta","GER11","Muscle round (apenas técnica)","Aquec:2x15 | Prep:23 leves | Apenas Técnica","2:00","10s entre blocos; postura rígida.",,,,,,,,
"Terça","Lower","Tríceps francês","GER11","Muscle round (apenas técnica)","Aquec:2x15 | Prep:23 leves | Apenas Técnica","2:00","Estabilidade escapular; 10s entre blocos.",,,,,,,,
"Quinta","Upper","Supino inclinado (máquina)","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Mesmas orientações da segunda.",,,,,,,,
"Quinta","Upper","Supino reto (smith)","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Controle; foco peitoral.",,,,,,,,
"Quinta","Upper","Puxada supinada","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Peito alto; cotovelos para baixo e atrás.",,,,,,,,
"Quinta","Upper","Remada unilateral (halteres)","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Isométrica no pico 1s.",,,,,,,,
"Quinta","Upper","Remada cavalinho (máquina) pronada","GER10+GER14","Combo: Backoff + Cluster (4x4 c/20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff + Cluster","2:00","Após backoff, faça cluster: 4 blocos de 4 reps c/20s.",,,,,,,,
"Quinta","Upper","Desenvolvimento (máquina)","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Amplitude confortável; sem dor no ombro.",,,,,,,,
"Quinta","Upper","Elevação lateral","GER13","Pulse set (apenas técnica)","Aquec:2x15 | Prep:23 leves | Apenas Técnica","2:00","Sequência de pulsos como descrita.",,,,,,,,
"Quinta","Upper","Rosca scott (máquina)","GER11","Muscle round (apenas técnica)","Aquec:2x15 | Prep:23 leves | Apenas Técnica","2:00","Alinhamento punho-cotovelo; 10s entre blocos.",,,,,,,,
"Quinta","Upper","Tríceps corda","GER11","Muscle round (apenas técnica)","Aquec:2x15 | Prep:23 leves | Apenas Técnica","2:00","Separar cordas no final; 10s entre blocos.",,,,,,,,
"Sábado","Lower","Abdutora","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Controle e pico de contração.",,,,,,,,
"Sábado","Lower","Agachamento (smith)","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Barra posição confortável; estabilidade do pé.",,,,,,,,
"Sábado","Lower","Leg press unilateral","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Equilíbrio entre lados; amplitude segura.",,,,,,,,
"Sábado","Lower","Stiff","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Dobra de quadril; controle excêntrico.",,,,,,,,
"Sábado","Lower","Búlgaro","GER10","Backoff set (2030% após 1x48)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Backoff","2:00","Joelho acompanhando pé; tronco ereto.",,,,,,,,
"Sábado","Lower","Extensora","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Controle excêntrico.",,,,,,,,
"Sábado","Lower","Flexora deitado","GER12","Rest-pause (8 reps alvo; 20s; 20s)","Aquec:2x15 | Prep:3x4-8(2RIR) | Trabalho:1x4-8 + Rest-pause","2:00","Quadril estável; sem impulso.",,,,,,,,
"Sábado","Lower","Rosca scott","GER11","Muscle round (apenas técnica)","Aquec:2x15 | Prep:23 leves | Apenas Técnica","2:00","10s entre blocos; controle total.",,,,,,,,
"Sábado","Lower","Tríceps francês","GER11","Muscle round (apenas técnica)","Aquec:2x15 | Prep:23 leves | Apenas Técnica","2:00","Cotovelo fixo; 10s entre blocos.",,,,,,,,
